ZIP,LAT,LNG
78589,26.17,-98.15
78570,26.17,-97.91
33351,26.18,-80.28
34117,26.18,-81.61
33319,26.18,-80.23
33334,26.18,-80.13
33309,26.19,-80.17
33308,26.19,-80.10
34116,26.19,-81.71
34105,26.19,-81.76
78552,26.19,-97.75
34103,26.19,-81.81
33321,26.21,-80.27
78501,26.22,-98.24
33068,26.22,-80.22
78572,26.23,-98.38
33060,26.23,-80.12
78597,26.24,-97.27
33069,26.24,-80.16
34109,26.24,-81.76
33062,26.24,-80.09
78560,26.24,-98.49
33071,26.24,-80.27
34108,26.25,-81.81
33063,26.25,-80.21
33066,26.25,-80.17
78535,26.25,-97.74
78565,26.25,-98.57
78550,26.26,-97.67
78583,26.26,-97.49
34119,26.27,-81.71
78504,26.27,-98.24
33065,26.27,-80.26
78548,26.27,-98.65
78593,26.28,-97.82
33064,26.28,-80.12
78539,26.28,-98.18
78595,26.29,-98.55
78573,26.30,-98.30
78543,26.30,-98.00
78562,26.30,-97.90
33073,26.30,-80.18
34110,26.30,-81.79
33067,26.31,-80.22
78558,26.31,-98.04
33442,26.31,-80.15
33441,26.31,-80.10
33076,26.32,-80.28
78574,26.32,-98.37
78576,26.32,-98.48
34120,26.33,-81.57
34142,26.34,-81.31
33432,26.34,-80.08
78594,26.35,-97.79
33433,26.35,-80.16
33486,26.35,-80.11
33428,26.35,-80.21
34134,26.35,-81.82
34135,26.36,-81.75
78569,26.37,-97.74
78538,26.37,-97.98
33431,26.37,-80.11
33434,26.38,-80.17
33498,26.39,-80.22
33928,26.40,-81.70
33496,26.41,-80.16
33487,26.42,-80.09
33931,26.43,-81.90
78541,26.45,-98.28
33446,26.45,-80.19
78542,26.45,-98.09
33484,26.45,-80.13
33445,26.46,-80.11
78549,26.46,-98.04
33444,26.46,-80.08
33483,26.46,-80.06
33965,26.46,-81.77
33957,26.46,-82.09
33967,26.47,-81.81
78561,26.48,-97.92
78580,26.49,-97.74
33473,26.50,-80.19
78590,26.51,-97.65
33437,26.51,-80.15
33913,26.51,-81.70
33908,26.52,-81.98
33436,26.52,-80.11
78585,26.52,-99.11
33435,26.53,-80.06
78582,26.53,-98.74
33426,26.53,-80.08
33912,26.53,-81.83
33472,26.54,-80.19
33493,26.54,-80.73
33956,26.55,-82.14
33914,26.55,-82.02
33919,26.56,-81.90
33974,26.56,-81.60
33907,26.56,-81.87
33440,26.56,-81.04
33930,26.57,-81.41
78598,26.57,-97.44
78584,26.57,-98.96
33904,26.58,-81.94
33462,26.58,-80.07
78591,26.58,-98.52
78545,26.59,-99.12
33449,26.59,-80.23
33976,26.59,-81.69
33966,26.59,-81.83
33463,26.59,-80.13
33467,26.60,-80.18
33945,26.60,-82.22
33973,26.61,-81.72
33924,26.62,-82.21
33460,26.62,-80.06
33461,26.62,-80.09
33901,26.62,-81.88
33936,26.62,-81.60
33991,26.63,-82.03
33990,26.63,-81.94
33916,26.64,-81.84
33922,26.64,-82.16
33971,26.64,-81.70
33430,26.64,-80.55
33414,26.65,-80.25
33972,26.65,-81.62
78536,26.65,-98.45
78563,26.65,-98.26
33415,26.66,-80.13
33413,26.66,-80.15
33406,26.66,-80.09
33905,26.67,-81.76
33405,26.67,-80.06
78564,26.68,-99.10
33903,26.68,-81.91
33480,26.69,-80.04
33993,26.69,-82.03
33909,26.69,-81.95
33409,26.71,-80.10
33401,26.72,-80.07
33417,26.72,-80.12
33411,26.72,-80.19
33470,26.73,-80.32
78588,26.74,-98.40
33917,26.74,-81.84
33920,26.74,-81.64
33407,26.76,-80.09
33935,26.76,-81.43
33921,26.77,-82.25
33404,26.78,-80.06
33412,26.79,-80.21
33476,26.80,-80.62
33403,26.80,-80.08
33955,26.82,-81.99
33408,26.84,-80.05
33410,26.85,-80.09
33946,26.85,-82.28
33418,26.87,-80.17
78353,26.88,-98.22
33471,26.88,-81.20
33947,26.89,-82.27
33950,26.90,-82.05
33982,26.91,-81.77
78338,26.91,-97.77
34224,26.92,-82.30
33981,26.92,-82.22
33477,26.92,-80.08
78076,26.93,-99.16
33438,26.93,-80.60
33478,26.94,-80.25
33458,26.94,-80.13
34223,26.98,-82.35
33980,26.98,-82.04
33948,26.99,-82.15
33952,26.99,-82.10
33469,26.99,-80.11
33944,26.99,-81.29
33953,27.00,-82.21
33983,27.01,-82.02
33954,27.02,-82.12
34293,27.03,-82.35
33960,27.04,-81.40
34288,27.05,-82.11
34287,27.05,-82.24
33455,27.05,-80.16
34997,27.06,-80.27
34269,27.07,-82.01
34289,27.08,-82.13
34286,27.08,-82.18
34291,27.09,-82.24
34285,27.09,-82.44
34956,27.09,-80.50
78361,27.10,-98.79
34292,27.10,-82.34
78067,27.13,-99.33
34990,27.14,-80.35
78385,27.14,-97.90
34974,27.15,-80.95
34268,27.15,-81.90
34275,27.15,-82.42
34266,27.19,-81.82
34229,27.19,-82.49
34996,27.19,-80.19
78355,27.19,-98.21
34994,27.20,-80.26
34238,27.24,-82.47
33852,27.24,-81.37
34953,27.24,-80.38
34984,27.25,-80.33
34241,27.25,-82.38
34242,27.26,-82.54
34231,27.27,-82.52
34233,27.28,-82.48
34957,27.28,-80.24
34987,27.29,-80.50
34952,27.30,-80.30
78379,27.31,-97.78
34239,27.31,-82.52
34236,27.32,-82.55
34983,27.32,-80.35
34232,27.32,-82.47
34986,27.33,-80.40
33857,27.34,-81.19
34237,27.34,-82.51
34240,27.36,-82.32
78369,27.37,-99.00
34234,27.37,-82.54
34235,27.37,-82.48
34982,27.37,-80.31
78349,27.37,-98.29
78046,27.37,-99.35
34251,27.38,-82.17
33875,27.39,-81.51
34981,27.40,-80.38
78375,27.40,-98.17
34243,27.40,-82.53
34201,27.40,-82.47
34228,27.40,-82.64
34202,27.41,-82.39
33876,27.41,-81.36
78376,27.42,-98.51
33890,27.43,-81.70
33865,27.43,-81.96
34945,27.44,-80.56
34207,27.44,-82.58
34210,27.44,-82.62
34203,27.44,-82.51
34950,27.44,-80.33
78363,27.44,-97.87
34211,27.45,-82.38
34947,27.45,-80.37
34949,27.47,-80.30
34215,27.47,-82.69
78344,27.48,-98.86
34205,27.48,-82.58
34208,27.49,-82.52
34217,27.49,-82.71
34212,27.50,-82.41
34209,27.50,-82.65
34946,27.50,-80.36
33872,27.51,-81.55
33870,27.51,-81.41
34972,27.51,-80.93
78040,27.51,-99.50
34951,27.53,-80.42
34216,27.54,-82.73
34222,27.54,-82.51
78041,27.55,-99.46
78043,27.55,-99.27
33873,27.57,-81.78
34219,27.58,-82.30
34221,27.58,-82.55
32968,27.58,-80.47
32962,27.59,-80.38
78371,27.62,-98.95
33825,27.62,-81.46
33834,27.62,-82.00
78343,27.62,-97.75
78418,27.63,-97.27
78341,27.63,-98.50
32960,27.64,-80.40
78415,27.66,-97.48
78342,27.66,-98.08
78414,27.66,-97.37
33715,27.66,-82.72
78351,27.67,-97.76
78413,27.68,-97.41
32966,27.68,-80.71
33570,27.69,-82.46
33598,27.69,-82.28
78419,27.70,-97.27
78412,27.70,-97.35
32967,27.72,-80.45
32963,27.72,-80.39
33843,27.72,-81.53
33573,27.72,-82.36
78332,27.72,-98.13
78411,27.73,-97.39
33712,27.73,-82.67
33705,27.73,-82.64
33711,27.74,-82.69
78417,27.74,-97.47
33706,27.74,-82.75
33841,27.74,-81.75
78330,27.74,-97.92
32970,27.75,-80.45
78044,27.75,-99.13
78416,27.75,-97.44
33707,27.75,-82.72
33572,27.76,-82.41
33860,27.76,-82.03
33503,27.76,-82.28
78404,27.77,-97.40
33701,27.77,-82.63
78406,27.77,-97.52
78405,27.77,-97.44
78373,27.78,-97.11
33867,27.78,-81.20
33713,27.79,-82.68
33547,27.79,-82.14
33710,27.79,-82.73
78380,27.79,-97.74
32958,27.79,-80.49
78408,27.79,-97.45
33855,27.80,-81.35
33579,27.80,-82.29
33704,27.80,-82.63
78401,27.80,-97.40
33847,27.80,-81.82
78339,27.81,-97.79
33744,27.81,-82.77
78409,27.81,-97.52
78407,27.81,-97.44
33714,27.82,-82.68
33827,27.82,-81.51
33709,27.82,-82.73
33703,27.82,-82.62
33708,27.82,-82.80
78402,27.82,-97.39
33534,27.83,-82.38
78045,27.83,-99.68
78357,27.84,-98.63
78410,27.84,-97.60
33781,27.84,-82.71
33898,27.84,-81.37
33621,27.84,-82.49
33772,27.84,-82.80
32976,27.85,-80.55
33569,27.85,-82.29
33702,27.85,-82.63
78384,27.85,-98.39
78362,27.85,-97.20
33776,27.85,-82.83
33777,27.85,-82.76
33856,27.86,-81.43
33854,27.86,-81.41
33782,27.86,-82.71
33578,27.86,-82.35
33616,27.87,-82.54
33859,27.87,-81.63
78335,27.87,-97.09
33830,27.87,-81.81
33716,27.88,-82.65
33773,27.88,-82.76
33774,27.88,-82.83
33596,27.89,-82.23
33778,27.89,-82.80
32948,27.89,-80.73
33611,27.89,-82.51
33785,27.89,-82.85
78374,27.89,-97.38
33762,27.90,-82.68
33853,27.90,-81.58
33771,27.91,-82.76
33760,27.91,-82.71
33511,27.91,-82.30
32949,27.91,-80.56
33770,27.92,-82.80
33606,27.92,-82.45
32909,27.92,-80.64
33567,27.92,-82.12
33629,27.92,-82.51
78359,27.92,-97.29
78336,27.93,-97.18
33786,27.93,-82.83
34739,27.93,-81.12
33764,27.93,-82.74
33619,27.94,-82.38
33594,27.94,-82.24
33609,27.94,-82.52
33756,27.95,-82.79
32951,27.95,-80.50
78370,27.95,-97.60
33605,27.95,-82.43
33602,27.95,-82.46
33510,27.96,-82.30
32908,27.96,-80.70
33607,27.96,-82.49
78352,27.96,-97.68
33813,27.97,-81.94
33812,27.97,-81.89
33527,27.97,-82.21
33767,27.97,-82.83
33765,27.97,-82.75
33759,27.98,-82.70
33839,27.98,-81.75
33566,27.98,-82.10
33884,27.98,-81.67
33880,27.98,-81.78
33755,27.98,-82.78
32950,27.98,-80.57
33811,27.98,-82.02
33603,27.99,-82.46
33877,27.99,-81.61
78372,27.99,-98.07
78390,28.00,-97.33
33610,28.00,-82.38
33763,28.00,-82.74
33614,28.00,-82.51
33615,28.01,-82.58
33584,28.01,-82.29
34695,28.01,-82.69
33803,28.01,-81.93
33634,28.01,-82.55
33604,28.02,-82.46
33563,28.02,-82.12
33838,28.02,-81.61
32907,28.02,-80.68
33635,28.03,-82.62
32905,28.03,-80.60
33761,28.03,-82.72
33617,28.04,-82.39
33801,28.04,-81.90
34677,28.04,-82.67
34698,28.04,-82.79
33637,28.04,-82.37
33815,28.04,-82.00
78019,28.04,-99.40
33851,28.04,-81.62
33612,28.05,-82.45
33881,28.06,-81.71
33620,28.06,-82.41
32904,28.07,-80.68
33625,28.07,-82.56
33626,28.07,-82.62
78358,28.07,-97.04
33618,28.07,-82.50
32901,28.08,-80.62
33624,28.08,-82.53
34684,28.08,-82.73
34681,28.08,-82.78
33613,28.08,-82.45
33823,28.09,-81.81
33565,28.09,-82.15
34683,28.09,-82.76
33844,28.09,-81.59
78383,28.09,-97.96
34685,28.09,-82.69
33805,28.10,-81.91
33592,28.10,-82.28
78368,28.10,-97.81
34759,28.10,-81.42
32903,28.10,-80.59
78340,28.12,-97.20
78387,28.12,-97.55
33850,28.12,-81.73
33647,28.13,-82.35
33810,28.13,-82.03
78382,28.13,-97.06
33556,28.13,-82.59
32934,28.14,-80.71
33549,28.14,-82.45
32935,28.15,-80.65
33548,28.15,-82.48
34688,28.15,-82.68
34689,28.15,-82.76
34773,28.16,-81.01
33559,28.16,-82.41
34772,28.16,-81.26
33558,28.17,-82.51
32937,28.18,-80.60
78391,28.18,-97.71
78393,28.19,-97.38
34758,28.19,-81.49
34690,28.19,-82.73
33837,28.19,-81.59
34691,28.20,-82.82
32940,28.20,-80.78
34655,28.20,-82.62
33543,28.21,-82.30
33809,28.22,-81.97
33849,28.23,-82.07
33542,28.24,-82.18
33541,28.24,-82.23
34652,28.24,-82.74
